act,scene,anchor_a,anchor_b,gap,boundaries_between,excess,closes,boundary_position,boundary_n,leads_into
1,5,30,41,11,12,1,no,8,,"Yet, coming from him, that great medicine hath"
1,5,30,41,11,12,1,no,9,,With his tinct gilded thee.
1,5,30,41,11,12,1,no,10,,How goes it with my brave Mark Antony ?
1,5,30,41,11,12,1,no,11,,"Last thing he did, dear queen,"
1,5,30,41,11,12,1,no,12,41,"He kiss'd,—the last of many doubled kisses,—"
1,5,41,50,9,11,2,no,1,,This orient pearl. His speech sticks in my heart.
1,5,41,50,9,11,2,no,2,,Mine ear must pluck it thence.
1,5,41,50,9,11,2,no,3,,"'Good friend,' quoth he,"
1,5,41,50,9,11,2,no,4,,"'Say, the firm Roman to great Egypt sends"
1,5,41,50,9,11,2,no,5,,"This treasure of an oyster; at whose foot,"
1,5,41,50,9,11,2,no,6,,"To mend the petty present, I will piece"
1,5,41,50,9,11,2,no,7,,"Her opulent throne with kingdoms; all the east,"
1,5,41,50,9,11,2,no,8,,"Say thou, shall call her mistress.' So he nodded,"
1,5,41,50,9,11,2,no,9,,"And soberly did mount an arm-gaunt steed,"
1,5,41,50,9,11,2,no,10,,"Who neigh'd so high, that what I would have spoke"
1,5,41,50,9,11,2,no,11,50,Was beastly dumb'd by him.
1,5,50,60,10,10,0,yes,,,
1,5,60,71,11,14,3,no,1,,"The violence of either thee becomes,"
1,5,60,71,11,14,3,no,2,,So does it no man else. Met'st thou my posts ?
1,5,60,71,11,14,3,no,3,,"Ay, madam, twenty several messengers:"
1,5,60,71,11,14,3,no,4,,Why do you send so thick ?
1,5,60,71,11,14,3,no,5,,Who's born that day
1,5,60,71,11,14,3,no,6,,When I forget to send
1,5,60,71,11,14,3,no,7,,"Shall die a beggar. Ink and paper, Charmian."
1,5,60,71,11,14,3,no,8,,"Welcome, my good Alexas. Did I, Charmian,"
1,5,60,71,11,14,3,no,9,,Ever
1,5,60,71,11,14,3,no,10,,O that brave Cæsar !
1,5,60,71,11,14,3,no,11,,Be choked with such another emphasis !
1,5,60,71,11,14,3,no,12,,"Say, the brave Antony."
1,5,60,71,11,14,3,no,13,,The valiant Cæsar !
1,5,60,71,11,14,3,no,14,71,"By Isis, I will give thee bloody teeth,"
2,1,10,20,10,12,2,no,1,,"My powers are crescent, and my auguring hope"
2,1,10,20,10,12,2,no,2,,Says it will come to the full. Mark Antony
2,1,10,20,10,12,2,no,3,,"In Egypt sits at dinner, and will make"
2,1,10,20,10,12,2,no,4,,No wars without doors: Cæsar gets money where
2,1,10,20,10,12,2,no,5,,"He loses hearts: Lepidus flatters both,"
2,1,10,20,10,12,2,no,6,,"Of both is flatter'd; but he neither loves,"
2,1,10,20,10,12,2,no,7,,Nor either cares for him.
2,1,10,20,10,12,2,no,8,,Cæsar and Lepidus
2,1,10,20,10,12,2,no,9,,Are in the field: a mighty strength they carry.
2,1,10,20,10,12,2,no,10,,Where have you this ? 'tis false.
2,1,10,20,10,12,2,no,11,,"From Silvius, sir."
2,1,10,20,10,12,2,no,12,20,"He dreams: I know they are in Rome together,"
2,1,20,30,10,11,1,no,1,,"Looking for Antony. But all the charms of love,"
2,1,20,30,10,11,1,no,2,,"Salt Cleopatra, soften thy waned lip!"
2,1,20,30,10,11,1,no,3,,"Let witchcraft join with beauty, lust with both !"
2,1,20,30,10,11,1,no,4,,"Tie up the libertine in a field of feasts,"
2,1,20,30,10,11,1,no,5,,Keep his brain fuming; Epicurean cooks
2,1,20,30,10,11,1,no,6,,Sharpen with cloyless sauce his appetite;
2,1,20,30,10,11,1,no,7,,That sleep and feeding may prorogue his honor
2,1,20,30,10,11,1,no,8,,Even till a Lethe'd dulness!
2,1,20,30,10,11,1,no,9,,"How now, Varrius!"
2,1,20,30,10,11,1,no,10,,This is most certain that I shall deliver:
2,1,20,30,10,11,1,no,11,30,Mark Antony is every hour in Rome
2,1,30,40,10,13,3,no,1,,Expected: since he went from Egypt 'tis
2,1,30,40,10,13,3,no,2,,A space for further travel.
2,1,30,40,10,13,3,no,3,,I could have given less matter
2,1,30,40,10,13,3,no,4,,"A better ear. Menas, I did not think"
2,1,30,40,10,13,3,no,5,,This amorous surfeiter would have donn'd his helm
2,1,30,40,10,13,3,no,6,,For such a petty war: his soldiership
2,1,30,40,10,13,3,no,7,,Is twice the other twain: but let us rear
2,1,30,40,10,13,3,no,8,,"The higher our opinion, that our stirring"
2,1,30,40,10,13,3,no,9,,Can from the lap of Egypt's widow pluck
2,1,30,40,10,13,3,no,10,,The ne'er-lust-wearied Antony.
2,1,30,40,10,13,3,no,11,,I cannot hope
2,1,30,40,10,13,3,no,12,,Cæsar and Antony shall well greet together:
2,1,30,40,10,13,3,no,13,40,His wife that's dead did trespasses to Cæsar;
2,1,40,50,10,10,0,yes,,,
2,2,10,20,10,14,4,no,1,,Serves for the matter that is then
2,2,10,20,10,14,4,no,2,,But small to greater matters must give way.
2,2,10,20,10,14,4,no,3,,Not if the small come first.
2,2,10,20,10,14,4,no,4,,Your speech is passion:
2,2,10,20,10,14,4,no,5,,"But, pray you, stir"
2,2,10,20,10,14,4,no,6,,The noble Antony.
2,2,10,20,10,14,4,no,7,,"And yonder, Cæsar."
2,2,10,20,10,14,4,no,8,,"If we compose well here, to Parthia:"
2,2,10,20,10,14,4,no,9,,"Hark, Ventidius."
2,2,10,20,10,14,4,no,10,,"I do not know,"
2,2,10,20,10,14,4,no,11,,Mecænas; ask Agrippa.
2,2,10,20,10,14,4,no,12,,"Noble friends,"
2,2,10,20,10,14,4,no,13,,"That which combined us was most great, and let not"
2,2,10,20,10,14,4,no,14,20,"A leaner action rend us. What's amiss,"
